#      m      rch     lgch      rhe     lghe       rc      lgc      rmg       lgmg
#
   0.140    2.381    6.839    2.239    6.889    2.129    6.935    2.029    6.969 
   0.141    2.377    6.844    2.234    6.893    2.127    6.938    2.025    6.974 
   0.142    2.372    6.848    2.230    6.897    2.124    6.941    2.022    6.978 
   0.143    2.368    6.852    2.226    6.902    2.121    6.944    2.018    6.982 
   0.144    2.363    6.856    2.222    6.906    2.119    6.947    2.015    6.986 
   0.145    2.359    6.860    2.218    6.910    2.116    6.950    2.011    6.991 
   0.146    2.354    6.864    2.214    6.914    2.114    6.953    2.008    6.995 
   0.147    2.350    6.869    2.210    6.918    2.111    6.956    2.004    6.999 
   0.148    2.345    6.873    2.206    6.923    2.108    6.959    2.001    7.004 
   0.149    2.341    6.877    2.202    6.927    2.106    6.962    1.997    7.008 
   0.150    2.336    6.881    2.197    6.931    2.103    6.965    1.994    7.012 
   0.151    2.332    6.885    2.193    6.935    2.101    6.968    1.990    7.016 
   0.152    2.327    6.889    2.189    6.940    2.098    6.971    1.987    7.021 
   0.153    2.323    6.894    2.185    6.944    2.095    6.974    1.984    7.025 
   0.154    2.318    6.898    2.181    6.948    2.093    6.977    1.980    7.029 
   0.155    2.314    6.902    2.177    6.952    2.090    6.980    1.977    7.033 
   0.156    2.309    6.906    2.173    6.956    2.088    6.983    1.973    7.038 
   0.157    2.305    6.910    2.169    6.961    2.085    6.987    1.970    7.042 
   0.158    2.300    6.914    2.165    6.965    2.082    6.990    1.966    7.046 
   0.159    2.296    6.919    2.160    6.969    2.080    6.993    1.963    7.050 
   0.160    2.291    6.923    2.156    6.973    2.077    6.996    1.960    7.055 
   0.161    2.287    6.927    2.152    6.977    2.075    6.999    1.956    7.059 
   0.162    2.282    6.931    2.148    6.982    2.072    7.002    1.953    7.063 
   0.163    2.278    6.935    2.144    6.986    2.069    7.005    1.949    7.067 
   0.164    2.273    6.939    2.140    6.990    2.067    7.008    1.946    7.071 
   0.165    2.268    6.944    2.136    6.994    2.064    7.011    1.943    7.076 
   0.166    2.264    6.948    2.132    6.998    2.062    7.014    1.939    7.080 
   0.167    2.259    6.952    2.128    7.003    2.059    7.017    1.936    7.084 
   0.168    2.255    6.956    2.124    7.007    2.057    7.020    1.933    7.088 
   0.169    2.250    6.960    2.120    7.011    2.054    7.023    1.929    7.092 
   0.170    2.246    6.964    2.116    7.015    2.051    7.026    1.926    7.096 
   0.171    2.242    6.969    2.111    7.019    2.049    7.029    1.923    7.100 
   0.172    2.237    6.973    2.107    7.023    2.046    7.032    1.919    7.104 
   0.173    2.233    6.977    2.103    7.028    2.044    7.035    1.916    7.109 
