Teff,logg,u,u_s,u-u_s,g,g_s,g-g_s,r,r_s,r-r_s,i,i_s,i-i_s,z,z_s,z-z_s
5000,6.5,-3.7967693215775853,-4.268251137440757,0.4714818158631715,-6.758358670203318,-6.9084606188622075,0.15010194865888948,-6.82141860005693,-6.893978717558571,0.07256011750164149,-6.545888950408482,-6.672606625074582,0.12671767466610007,-5.812598843899963,-5.840380013124548,0.02778116922458551
5000,6.75,-3.761323876285939,-4.2345352290985545,0.4732113528126156,-6.7598638731173,-6.909645755703789,0.14978188258648828,-6.825817242234226,-6.898480896427589,0.07266365419336296,-6.55046523401057,-6.6771754271149355,0.1267101931043655,-5.816579469263026,-5.84435826859583,0.027778799332804027
5000,7.0,-3.7234343622567003,-4.198462597807644,0.4750282355509441,-6.760986373896941,-6.910361144558177,0.14937477066123606,-6.829824904653009,-6.90263441214924,0.07280950749623116,-6.554535362645808,-6.681238390637773,0.1267030279919652,-5.820097535267955,-5.847874030929784,0.02777649566182916
5000,7.25,-3.685841715345216,-4.16255268630367,0.47671097095845383,-6.761755541320614,-6.910664189522027,0.14890864820141303,-6.833605659075481,-6.90657459504574,0.072968935970259,-6.558238467761573,-6.684934753503331,0.12669628574175817,-5.8232853519218715,-5.851059630174081,0.027774278252209683
5000,7.5,-3.649225536383703,-4.1274706040003615,0.4782450676166583,-6.762119117973047,-6.9104958746989915,0.14837675672594486,-6.837232057440591,-6.9103178047132126,0.0730857472726214,-6.561598082484235,-6.688288010893597,0.12668992840936255,-5.82617125311781,-5.853943433950082,0.027772180832272397
5000,7.75,-3.613510608215851,-4.093169165690679,0.4796585574748278,-6.76209842651085,-6.909900992805493,0.1478025662946436,-6.840882854464002,-6.914017715056378,0.07313486059237562,-6.564804804582224,-6.691488378805214,0.1266835742229908,-5.8289245528621265,-5.856694766119077,0.02777021325695017
5000,8.0,-3.5784886711529893,-4.059483632001879,0.48099496084888926,-6.7617991476366335,-6.908993458595397,0.14719431095876345,-6.844694289876092,-6.917851558004596,0.07315726812850443,-6.568041142075131,-6.6947185875620505,0.12667744548691928,-5.83171346534845,-5.859481529872703,0.027768064524252623
5000,8.25,-3.543684029125746,-4.025975557388541,0.4822915282627953,-6.761045587473074,-6.907598705891754,0.14655311841868013,-6.848476844384141,-6.921631978713087,0.07315513432894605,-6.571198214931538,-6.6978694475669585,0.12667123263542024,-5.834433768479567,-5.8621999352677925,0.027766166788225632
5000,8.5,-3.5090122970847126,-3.99255511294815,0.48354281586343717,-6.759979323873175,-6.905858505162243,0.14587918128906807,-6.852379229569831,-6.925521503891083,0.07314227432125264,-6.574490911084503,-6.701156371888285,0.12666546080378183,-5.8372767827721965,-5.865041407505007,0.027764624732810717
5000,8.75,-3.4745035640109627,-3.9592459151702535,0.48474235115929076,-6.758608470167825,-6.903789918415672,0.14518144824784684,-6.856428436063418,-6.929552786696828,0.07312435063341027,-6.577969147701015,-6.704628456606638,0.12665930890562294,-5.840289734052586,-5.8680521372451295,0.027762403192543417
