Teff,logg,u,g,r,i,z,u_s,g_s,r_s,i_s,z_s
5000,6.5,-0.17505112965553593,0.024343435482620635,0.039454308520099346,0.005745695281326846,0.07554444027695695,-0.1266916319106528,-0.01273566660225356,0.016189911678488045,-0.0011441426008929056,0.07688524129628149
5000,6.75,-0.18120302852786097,0.024570962388004602,0.03940986592211715,0.005716051734729888,0.07521423634320001,-0.1310147681158682,-0.01295660411074806,0.01619942049967449,-0.0011437317020224214,0.07655193661810245
5000,7.0,-0.1875657564880271,0.02480989771426323,0.03936504807472119,0.005695265778619785,0.07495287708098175,-0.13548121130352087,-0.013203079806359597,0.016201362212321158,-0.0011421169496443895,0.07628789311452522
5000,7.25,-0.19340389502127664,0.025055698485424216,0.039321264407575995,0.005678246367750717,0.07473561050058208,-0.13957786888049384,-0.013465189682989376,0.01619833776787516,-0.0011411026618546316,0.07606809874619103
5000,7.5,-0.19871161110788194,0.025309468864556095,0.03927808490997364,0.005664932643931309,0.07455183897562989,-0.14329689192494754,-0.013738071750275083,0.01619048359435027,-0.0011396909229404173,0.07588203856779074
5000,7.75,-0.20360673621414804,0.02557461588052945,0.03923760398302534,0.0056525042140620485,0.07437747666716632,-0.14672274539297092,-0.014017644136401941,0.016181138982126697,-0.0011385302124367058,0.07570550205704052
5000,8.0,-0.2081861173758739,0.025858089413929974,0.03919654837398667,0.005639131631419048,0.07419631680180316,-0.14991972104391493,-0.014304295819584922,0.016170204388501475,-0.0011372511831666543,0.0755220048146299
5000,8.25,-0.21261993059885498,0.026163874190821446,0.03915763697261809,0.005624800906169014,0.07400862428167443,-0.15301292002094158,-0.014597299475049397,0.0161598682523163,-0.0011363515906950283,0.07533213300280295
5000,8.5,-0.21689427792905036,0.026495728311040523,0.03912066084231469,0.005606811198504147,0.07379733366767027,-0.15599312771516338,-0.014894517300170662,0.016152467609813925,-0.0011357803653453402,0.07511876607969015
5000,8.75,-0.2209877523143291,0.02685047385931938,0.039088315891667946,0.005586036156955743,0.07355762347979322,-0.15884518364596545,-0.015193159071309026,0.016151587116794985,-0.0011350151833866562,0.07487634487043948
5000,9.0,-0.2248223792174855,0.02722452383711982,0.03906668076952968,0.005560478114169598,0.07328249779893525,-0.16151415734446317,-0.015490683760354784,0.016162450831373576,-0.001135807228052954,0.07459819345427832
5000,9.25,-0.22824706899729108,0.02761835053668449,0.039061884293644766,0.005530778554287963,0.07296497404516344,-0.16389830198892952,-0.01578640205866577,0.01619005546081098,-0.0011367058303264344,0.07427770453602278
5000,9.5,-0.23117521576968159,0.028029486358079225,0.03907752913660545,0.005496456324884491,0.07260370694979912,-0.16593858361981262,-0.016076468180720838,0.01623657723513361,-0.0011371894691549755,0.07391326244730578
5250,6.5,-0.13937781203261324,0.021047156276544854,0.034255287085763086,0.005719423233166765,0.07018019833694922,-0.10143063962524224,-0.011126557718696972,0.01386117020211941,-0.0009713667472155407,0.07139638869477949
5250,6.75,-0.1448352001270763,0.02124022550288629,0.03421360772735227,0.005675792286702119,0.06970224722891771,-0.1053019924445806,-0.011271703574543324,0.01388610196602258,-0.0009703012007022949,0.07091403596025003
5250,7.0,-0.15090902317464838,0.021453280199892788,0.03418215066486141,0.005635636838142943,0.06926263027980895,-0.10960410253699848,-0.0114583558616701,0.013911102555383081,-0.0009708344305181527,0.07047055375646494
5250,7.25,-0.15759124527799173,0.021672150111577082,0.03413884030119618,0.005605661602125167,0.06890573995865878,-0.11433204163986943,-0.0116760041465227,0.01392169887841277,-0.0009703916295649151,0.0701100434259132
5250,7.5,-0.1640920027349395,0.021891800407956907,0.03408983047631864,0.005581595629564617,0.06861057213794197,-0.11892648860852972,-0.011916142802967045,0.01392230406676731,-0.000970085846837776,0.06981155832402663
5250,7.75,-0.16998636029230596,0.022111054557818477,0.03404128971863685,0.00556355498360972,0.06836161533053797,-0.12308971345696307,-0.012172721733733738,0.013916698466346134,-0.00096896496659582,0.06955986339812625
5250,8.0,-0.17524089430429513,0.02233322899441248,0.033996931098990046,0.005548186728319138,0.06813857113324673,-0.12679632871798674,-0.012439463424655628,0.013908496626761746,-0.0009667396130907946,0.06933396725618479
5250,8.25,-0.17977686071161258,0.022563890161116262,0.03395369153726335,0.005532356585661091,0.0679254386173298,-0.12999309765975653,-0.012712003251927229,0.013896926762029693,-0.0009664981912678172,0.0691181286113931
5250,8.5,-0.18376402707889383,0.022806727623695622,0.033914553701684724,0.005515380173662265,0.06770388235636915,-0.1328010190876583,-0.012984885630928034,0.013885551702379928,-0.0009660437401493027,0.06889401882963142
5250,8.75,-0.1872921231864808,0.02306452867833997,0.03387801613718011,0.005494960700723084,0.06746173444948056,-0.13528113141250486,-0.013256551419530638,0.013875737809520672,-0.0009659004633704171,0.06864929346170356
5250,9.0,-0.190422125581307,0.023339459707663934,0.033848569068446466,0.00547134912434899,0.06719088664564055,-0.13747754753064356,-0.013525118251131119,0.013872994333773647,-0.0009662297075081483,0.06837569145452704
5250,9.25,-0.19312462363137683,0.023630647674423244,0.033829237771314524,0.005443432369396817,0.06688568469369471,-0.13937389141518253,-0.013787031671185446,0.013881138444894248,-0.0009671204024428448,0.06806776620529575
5250,9.5,-0.19532963828199001,0.023937928180878032,0.033826107061223354,0.005411049871931084,0.06654402820235816,-0.1409228312551818,-0.014040718687496678,0.013905349535171752,-0.0009687469290966533,0.06772308137028205
5500,6.5,-0.11318708954419776,0.018307695086058118,0.029727351982870687,0.005736473052166957,0.06555385584304219,-0.08270077433002143,-0.009787298005917933,0.011780681211497779,-0.0008107514739847943,0.0666557873350655
5500,6.75,-0.11761065686908267,0.018500520892196448,0.029729113993710143,0.005687285750603621,0.06501447400371063,-0.08587085243940606,-0.00990587240521279,0.01182955814010711,-0.0008129609704852214,0.06611202320642917
